Timestamp,Latitude,Longitude,Accelerometer_x,Accelerometer_y,Accelerometer_z,Orientation_azimuth,Orientation_pitch,Orientation_roll,Light
2025-05-28 19:42:36.833,-3,-3,-9.052347,3.1746774,2.757429,327.57257,-57.22208,-70.926636,110.0250015258789
2025-05-28 19:42:37.835,-3,-3,-7.804191,4.366004,4.0310087,327.2622,-57.492184,-71.56473,87.00749969482422
2025-05-28 19:42:39.070,-3,-3,-8.211868,1.4491532,3.5075788,336.02386,-22.580412,-66.88553,54.000003814697266
2025-05-28 19:42:39.834,-3,-3,-8.367103,0.619442,5.1553364,345.04303,-6.618536,-58.524715,68.98500061035156
2025-05-28 19:42:40.844,-3,-3,-8.362317,0.6230312,5.1619167,345.01605,-6.8231764,-58.250694,68.98500061035156
2025-05-28 19:42:41.836,-3,-3,-8.359625,0.6197411,5.156533,345.00052,-6.8110127,-58.251175,68.98500061035156
2025-05-28 19:42:42.838,-3,-3,-8.360522,0.62452674,5.1619167,344.98495,-6.798836,-58.25161,68.98500061035156
2025-05-28 19:42:43.841,-3,-3,-8.350951,0.62452674,5.1610193,344.96902,-6.786324,-58.25219,68.98500061035156
2025-05-28 19:42:44.841,-3,-3,-7.348059,0.8808578,6.250651,343.75592,-8.227789,-47.113735,68.98500061035156
2025-05-28 19:42:45.836,-3,-3,-6.38435,1.1817553,7.376773,344.54898,-9.057288,-40.51514,81
2025-05-28 19:42:46.835,-3,-3,-6.3867426,1.1811571,7.375876,344.53973,-9.047679,-40.515697,81
2025-05-28 19:42:47.848,-3,-3,-6.3882384,1.1805589,7.372287,344.53265,-9.040643,-40.515854,81
2025-05-28 19:42:48.849,-3,-3,-6.3792653,1.1814562,7.3869424,344.57224,-9.157095,-40.379726,81
2025-05-28 19:42:49.857,-3,-3,-6.36102,1.1877373,7.3863444,344.60223,-9.204757,-40.37582,81
2025-05-28 19:42:50.850,-3,-3,-6.367002,1.1910275,7.3839517,344.61765,-9.186821,-40.426285,81
2025-05-28 19:42:51.856,-3,-3,-6.3658056,1.1928221,7.373483,344.61755,-9.188467,-40.427452,81
2025-05-28 19:42:52.852,-3,-3,-6.364908,1.1928221,7.3773713,344.61755,-9.188467,-40.427452,81
